gene	HalfLife_vals_logPhase	HalfLife_cls_logPhase	HalfLife_BestIntervalMSE_logPhase	HalfLife_vals_hypoxia	HalfLife_cls_hypoxia	HalfLife_BestIntervalMSE_hypoxia	HalfLife_FC_hypoxiaToLogPhase	HalfLife_FCcls_hypoxiaToLogPhase
MSMEG_0401	1.9	Slow	0.2231	78.27	Slow	0.0615	41.19	Large
MSMEG_0402	5.41	Slow	0.1182	96.65	Slow	0.0559	17.87	Small
MSMEG_0403	NA	NA	NA	48.98	Slow	0.0959	NA	NA
MSMEG_0404	NA	NA	NA	22.33	Med-fast	0.1182	NA	NA
MSMEG_0405	NA	NA	NA	20.84	Med-fast	0.064	NA	NA
MSMEG_0406	2.22	Slow	0.0254	24.46	Med-slow	0.0825	11.02	Small
MSMEG_0407	1.12	Med-slow	0.0557	NA	NA	NA	NA	NA
MSMEG_0408	1.97	Slow	0.186	1012.16	Slow	0.2609	513.79	Large
MSMEG_0409	0.54	Fast	0.0166	23.54	Med-fast	0.1061	43.59	Large
MSMEG_0410	0.74	Med-fast	0.0789	157.79	Slow	0.0957	213.23	Large
MSMEG_0411	1.62	Slow	0.3605	37.35	Med-slow	0.0878	23.06	Med-small
MSMEG_0412	1.5	Slow	0.1403	126.72	Slow	0.1026	84.48	Large
MSMEG_0413	1.04	Med-slow	0.0641	NA	NA	NA	NA	NA
MSMEG_0414	1.69	Slow	0.2234	40.7	Slow	0.294	24.08	Med-small
MSMEG_0415	0.91	Med-fast	0.0215	17.86	Med-fast	0.1229	19.63	Med-small
MSMEG_0416	1.02	Med-slow	0.0952	16.86	Fast	0.2066	16.53	Small
MSMEG_0418	1.12	Med-slow	0.3967	NA	NA	NA	NA	NA
MSMEG_0422	0.78	Med-fast	0.017	12.71	Fast	0.0864	16.29	Small
MSMEG_0423	0.79	Med-fast	0.0964	16.32	Fast	0.0937	20.66	Med-small
MSMEG_0424	1.56	Slow	0.0169	55.96	Slow	0.2052	35.87	Med-large
MSMEG_0425	1.4	Slow	0.0691	NA	NA	NA	NA	NA
MSMEG_0426	0.86	Med-fast	0.0802	10.37	Fast	0.3893	12.06	Small
MSMEG_0427	0.86	Med-fast	0.1845	NA	NA	NA	NA	NA
MSMEG_0430	1.4	Slow	0.0627	NA	NA	NA	NA	NA
MSMEG_0432	1.09	Med-slow	0.1192	NA	NA	NA	NA	NA
MSMEG_0433	1.11	Med-slow	0.1111	25.41	Med-slow	0.1034	22.89	Med-small
MSMEG_0434	1.01	Med-slow	0.1063	19.4	Med-fast	0.2329	19.21	Med-small
MSMEG_0435	NA	NA	NA	28	Med-slow	0.1082	NA	NA
MSMEG_0436	1.26	Med-slow	0.0889	30.7	Med-slow	0.1415	24.37	Med-small
MSMEG_0437	0.55	Fast	0.0419	14.88	Fast	0.0836	27.05	Med-large
MSMEG_0438	0.74	Med-fast	0.1313	12.78	Fast	0.1337	17.27	Small
MSMEG_0439	0.79	Med-fast	0.0208	19.32	Med-fast	0.1189	24.46	Med-small
MSMEG_0440	1.66	Slow	0.0541	21.15	Med-fast	0.1399	12.74	Small
MSMEG_0441	1.63	Slow	0.0202	23.57	Med-fast	0.124	14.46	Small
MSMEG_0443	0.69	Fast	0.2243	NA	NA	NA	NA	NA
MSMEG_0444	0.8	Med-fast	0.2847	NA	NA	NA	NA	NA
MSMEG_0445	1.34	Med-slow	0.0276	18.49	Med-fast	0.1607	13.8	Small
MSMEG_0446	NA	NA	NA	545.86	Slow	0.259	NA	NA
MSMEG_0447	1.98	Slow	0.2781	NA	NA	NA	NA	NA
MSMEG_0449	0.84	Med-fast	0.1134	29.66	Med-slow	0.085	35.31	Med-large
MSMEG_0451	1.11	Med-slow	0.0834	25.83	Med-slow	0.4079	23.27	Med-small
MSMEG_0452	2.21	Slow	0.3615	46.09	Slow	0.1173	20.86	Med-small
MSMEG_0453	0.8	Med-fast	0.1159	NA	NA	NA	NA	NA
MSMEG_0454	1	Med-slow	0.0433	52.25	Slow	0.1278	52.25	Large
MSMEG_0455	1.07	Med-slow	0.0188	27.14	Med-slow	0.1152	25.36	Med-small
MSMEG_0456	NA	NA	NA	70.06	Slow	0.0794	NA	NA
MSMEG_0457	0.51	Fast	0.0796	17.93	Med-fast	0.0559	35.16	Med-large
MSMEG_0458	1.04	Med-slow	0.0724	72.77	Slow	0.3687	69.97	Large
MSMEG_0459	0.82	Med-fast	0.3234	20.94	Med-fast	0.2829	25.54	Med-small
MSMEG_0460	0.44	Fast	0.3336	20.83	Med-fast	0.1855	47.34	Large
MSMEG_0461	1.53	Slow	0.122	NA	NA	NA	NA	NA
MSMEG_0463	0.78	Med-fast	0.037	26.61	Med-slow	0.3531	34.12	Med-large
MSMEG_0464	1.2	Med-slow	0.0247	16.27	Fast	0.1292	13.56	Small
MSMEG_0465	0.57	Fast	0.1532	14.37	Fast	0.0656	25.21	Med-small
MSMEG_0466	1.4	Slow	0.0279	NA	NA	NA	NA	NA
MSMEG_0469	1.71	Slow	0.1534	18.5	Med-fast	0.1651	10.82	Small
MSMEG_0470	0.66	Fast	0.1938	46.42	Slow	0.172	70.33	Large
MSMEG_0471	0.61	Fast	0.0602	79.55	Slow	0.2748	130.41	Large
MSMEG_0474	NA	NA	NA	37.66	Med-slow	0.4508	NA	NA
MSMEG_0475	NA	NA	NA	10.97	Fast	0.4534	NA	NA
MSMEG_0478	1.57	Slow	0.1859	NA	NA	NA	NA	NA
MSMEG_0479	1.54	Slow	0.2528	NA	NA	NA	NA	NA
MSMEG_0480	NA	NA	NA	12.05	Fast	0.2736	NA	NA
MSMEG_0482	0.91	Med-fast	0.1788	NA	NA	NA	NA	NA
MSMEG_0484	1	Med-slow	0.1997	569.82	Slow	0.4417	569.82	Large
MSMEG_0485	0.73	Med-fast	0.0425	NA	NA	NA	NA	NA
MSMEG_0491	0.47	Fast	0.0762	13.13	Fast	0.1083	27.94	Med-large
MSMEG_0492	1.33	Med-slow	0.0869	21.23	Med-fast	0.2961	15.96	Small
MSMEG_0493	2.3	Slow	0.4429	11.15	Fast	0.4917	4.85	Small
MSMEG_0497	1.03	Med-slow	0.2654	8.99	Fast	0.4136	8.73	Small
MSMEG_0499	1.51	Slow	0.2768	NA	NA	NA	NA	NA
MSMEG_0500	0.8	Med-fast	0.2283	19.07	Med-fast	0.1582	23.84	Med-small
MSMEG_0501	NA	NA	NA	59.7	Slow	0.393	NA	NA
MSMEG_0502	0.99	Med-slow	0.0463	17.71	Med-fast	0.262	17.89	Small
MSMEG_0504	0.94	Med-fast	0.0563	NA	NA	NA	NA	NA
MSMEG_0516	2.5	Slow	0.0825	NA	NA	NA	NA	NA
MSMEG_0518	1.38	Slow	0.0276	NA	NA	NA	NA	NA
MSMEG_0519	1.68	Slow	0.4413	NA	NA	NA	NA	NA
MSMEG_0520	2.86	Slow	0.0298	25.9	Med-slow	0.1871	9.06	Small
MSMEG_0523	0.47	Fast	0.463	11.39	Fast	0.1087	24.23	Med-small
MSMEG_0524	1.17	Med-slow	0.3144	NA	NA	NA	NA	NA
MSMEG_0526	0.73	Med-fast	0.2843	NA	NA	NA	NA	NA
MSMEG_0527	1.28	Med-slow	0.2297	NA	NA	NA	NA	NA
MSMEG_0528	1.48	Slow	0.4541	NA	NA	NA	NA	NA
MSMEG_0529	0.64	Fast	0.1893	20.44	Med-fast	0.0515	31.94	Med-large
MSMEG_0530	0.72	Fast	0.03	11.72	Fast	0.0582	16.28	Small
MSMEG_0531	2.4	Slow	0.0221	NA	NA	NA	NA	NA
MSMEG_0532	NA	NA	NA	73.87	Slow	0.4668	NA	NA
MSMEG_0533	0.6	Fast	0.3262	7.81	Fast	0.2683	13.02	Small
MSMEG_0534	0.73	Med-fast	0.2318	38.72	Med-slow	0.0665	53.04	Large
MSMEG_0535	NA	NA	NA	25.14	Med-slow	0.1108	NA	NA
MSMEG_0536	0.92	Med-fast	0.2074	27.42	Med-slow	0.0856	29.8	Med-large
MSMEG_0537	0.42	Fast	0.0963	16.66	Fast	0.0725	39.67	Med-large
MSMEG_0538	0.43	Fast	0.0391	15.67	Fast	0.1456	36.44	Med-large
MSMEG_0539	0.6	Fast	0.0334	13.12	Fast	0.0908	21.87	Med-small
MSMEG_0540	0.37	Fast	0.2735	14.14	Fast	0.118	38.22	Med-large
MSMEG_0541	0.46	Fast	0.1179	16.4	Fast	0.1292	35.65	Med-large
MSMEG_0542	0.48	Fast	0.0905	15.4	Fast	0.0781	32.08	Med-large
MSMEG_0543	0.49	Fast	0.2503	28.06	Med-slow	0.3245	57.27	Large
MSMEG_0544	0.65	Fast	0.3144	24.43	Med-slow	0.0876	37.58	Med-large
MSMEG_0545	NA	NA	NA	16.31	Fast	0.3873	NA	NA
MSMEG_0546	NA	NA	NA	11.76	Fast	0.1142	NA	NA
MSMEG_0547	1.38	Slow	0.3569	17.16	Fast	0.258	12.43	Small
MSMEG_0548	0.88	Med-fast	0.0663	12.61	Fast	0.2577	14.33	Small
MSMEG_0549	0.9	Med-fast	0.0587	NA	NA	NA	NA	NA
MSMEG_0550	1.26	Med-slow	0.0261	NA	NA	NA	NA	NA
MSMEG_0551	0.61	Fast	0.0386	58.27	Slow	0.1535	95.52	Large
MSMEG_0552	1.03	Med-slow	0.0672	28.74	Med-slow	0.3332	27.9	Med-large
MSMEG_0553	0.57	Fast	0.0272	19.61	Med-fast	0.1303	34.4	Med-large
MSMEG_0554	1.9	Slow	0.1894	NA	NA	NA	NA	NA
MSMEG_0558	0.95	Med-fast	0.1085	NA	NA	NA	NA	NA
MSMEG_0559	1.34	Med-slow	0.0278	25.66	Med-slow	0.0859	19.15	Med-small
MSMEG_0560	0.85	Med-fast	0.1606	NA	NA	NA	NA	NA
MSMEG_0561	0.64	Fast	0.1729	16.43	Fast	0.203	25.67	Med-small
MSMEG_0562	1.54	Slow	0.0364	43.4	Slow	0.1336	28.18	Med-large
MSMEG_0563	0.91	Med-fast	0.0317	42.7	Slow	0.3568	46.92	Large
MSMEG_0564	0.86	Med-fast	0.0493	27.23	Med-slow	0.0986	31.66	Med-large
MSMEG_0565	2.04	Slow	0.058	13.06	Fast	0.1782	6.4	Small
MSMEG_0566	0.8	Med-fast	0.1104	NA	NA	NA	NA	NA
MSMEG_0567	1.54	Slow	0.0798	31.56	Med-slow	0.4425	20.49	Med-small
MSMEG_0575	NA	NA	NA	18.13	Med-fast	0.1737	NA	NA
MSMEG_0576	0.7	Fast	0.1277	94.65	Slow	0.1032	135.21	Large
MSMEG_0578	0.84	Med-fast	0.2486	NA	NA	NA	NA	NA
MSMEG_0579	0.81	Med-fast	0.043	31.33	Med-slow	0.3531	38.68	Med-large
MSMEG_0580	0.79	Med-fast	0.0568	14.02	Fast	0.1532	17.75	Small
MSMEG_0581	1.47	Slow	0.3308	NA	NA	NA	NA	NA
MSMEG_0582	1.77	Slow	0.3719	NA	NA	NA	NA	NA
MSMEG_0583	NA	NA	NA	13.33	Fast	0.1716	NA	NA
MSMEG_0584	3.15	Slow	0.2125	190.25	Slow	0.1247	60.4	Large
MSMEG_0586	2.13	Slow	0.1839	NA	NA	NA	NA	NA
MSMEG_0588	1.07	Med-slow	0.159	NA	NA	NA	NA	NA
MSMEG_0590	0.95	Med-fast	0.0668	NA	NA	NA	NA	NA
MSMEG_0592	0.8	Med-fast	0.0309	30.29	Med-slow	0.2472	37.86	Med-large
MSMEG_0593	0.82	Med-fast	0.1004	44.82	Slow	0.0834	54.66	Large
MSMEG_0594	0.92	Med-fast	0.0317	27.96	Med-slow	0.0719	30.39	Med-large
MSMEG_0595	0.76	Med-fast	0.0601	16.52	Fast	0.0891	21.74	Med-small
MSMEG_0596	NA	NA	NA	19.08	Med-fast	0.1456	NA	NA
MSMEG_0597	0.47	Fast	0.2281	20.85	Med-fast	0.2561	44.36	Large
MSMEG_0598	0.66	Fast	0.0837	21.58	Med-fast	0.2391	32.7	Med-large
MSMEG_0599	1.04	Med-slow	0.1825	19.46	Med-fast	0.2042	18.71	Med-small
MSMEG_0600	0.65	Fast	0.0795	41.15	Slow	0.3999	63.31	Large
MSMEG_0601	0.78	Med-fast	0.0654	22.95	Med-fast	0.4045	29.42	Med-large
MSMEG_0602	0.83	Med-fast	0.3678	12.82	Fast	0.4039	15.45	Small
MSMEG_0603	1.89	Slow	0.462	21.45	Med-fast	0.1476	11.35	Small
MSMEG_0604	0.81	Med-fast	0.3309	29.88	Med-slow	0.0476	36.89	Med-large
MSMEG_0605	0.59	Fast	0.1002	21.82	Med-fast	0.0707	36.98	Med-large
MSMEG_0606	NA	NA	NA	14.21	Fast	0.3251	NA	NA
MSMEG_0607	0.67	Fast	0.1883	31.97	Med-slow	0.2221	47.72	Large
MSMEG_0608	0.48	Fast	0.0811	11.16	Fast	0.0871	23.25	Med-small
MSMEG_0609	0.57	Fast	0.1263	19.19	Med-fast	0.3334	33.67	Med-large
MSMEG_0612	1.01	Med-slow	0.0812	18.13	Med-fast	0.1209	17.95	Small
MSMEG_0613	0.78	Med-fast	0.1031	NA	NA	NA	NA	NA
MSMEG_0614	1.57	Slow	0.0161	21.84	Med-fast	0.2404	13.91	Small
MSMEG_0615	0.88	Med-fast	0.0557	102.09	Slow	0.3964	116.01	Large
MSMEG_0616	1.1	Med-slow	0.212	NA	NA	NA	NA	NA
MSMEG_0617	1.58	Slow	0.4099	NA	NA	NA	NA	NA
MSMEG_0618	4.55	Slow	0.3757	NA	NA	NA	NA	NA
MSMEG_0619	2.6	Slow	0.4683	NA	NA	NA	NA	NA
MSMEG_0620	3.83	Slow	0.1938	NA	NA	NA	NA	NA
MSMEG_0621	3.6	Slow	0.1962	NA	NA	NA	NA	NA
MSMEG_0622	2.57	Slow	0.2423	NA	NA	NA	NA	NA
MSMEG_0623	3.15	Slow	0.1836	NA	NA	NA	NA	NA
MSMEG_0624	3.47	Slow	0.3106	NA	NA	NA	NA	NA
MSMEG_0625	0.72	Fast	0.046	27.8	Med-slow	0.1276	38.61	Med-large
MSMEG_0626	4.73	Slow	0.1485	NA	NA	NA	NA	NA
MSMEG_0627	1.36	Med-slow	0.0469	NA	NA	NA	NA	NA
MSMEG_0628	0.66	Fast	0.0975	25.99	Med-slow	0.1762	39.38	Med-large
MSMEG_0629	0.93	Med-fast	0.0184	NA	NA	NA	NA	NA
MSMEG_0630	0.57	Fast	0.2996	NA	NA	NA	NA	NA
MSMEG_0632	0.49	Fast	0.188	17	Fast	0.3292	34.69	Med-large
MSMEG_0633	0.9	Med-fast	0.095	22.93	Med-fast	0.1727	25.48	Med-small
MSMEG_0634	0.96	Med-slow	0.1067	18.02	Med-fast	0.212	18.77	Med-small
MSMEG_0635	0.51	Fast	0.0444	9.81	Fast	0.0951	19.24	Med-small
MSMEG_0636	1.07	Med-slow	0.0603	338.98	Slow	0.1337	316.8	Large
MSMEG_0637	2.03	Slow	0.1171	47.49	Slow	0.2167	23.39	Med-small
MSMEG_0638	0.62	Fast	0.0267	15.5	Fast	0.0962	25	Med-small
MSMEG_0639	2.34	Slow	0.2028	1174.6	Slow	0.1212	501.97	Large
MSMEG_0640	NA	NA	NA	61.13	Slow	0.0878	NA	NA
MSMEG_0641	NA	NA	NA	109.52	Slow	0.1188	NA	NA
MSMEG_0642	0.79	Med-fast	0.1098	65.33	Slow	0.0911	82.7	Large
MSMEG_0643	1.33	Med-slow	0.0293	26.77	Med-slow	0.1404	20.13	Med-small
MSMEG_0644	0.5	Fast	0.1093	NA	NA	NA	NA	NA
MSMEG_0645	0.82	Med-fast	0.0212	22.31	Med-fast	0.1322	27.21	Med-large
MSMEG_0646	1.07	Med-slow	0.2447	NA	NA	NA	NA	NA
MSMEG_0649	1.29	Med-slow	0.3705	13.71	Fast	0.1867	10.63	Small
MSMEG_0650	0.56	Fast	0.3418	9.5	Fast	0.1451	16.96	Small
MSMEG_0651	NA	NA	NA	17.1	Fast	0.3113	NA	NA
MSMEG_0652	0.64	Fast	0.1029	17.89	Med-fast	0.1486	27.95	Med-large
MSMEG_0655	1.22	Med-slow	0.1791	NA	NA	NA	NA	NA
MSMEG_0656	0.49	Fast	0.074	NA	NA	NA	NA	NA
MSMEG_0657	0.62	Fast	0.1565	45.83	Slow	0.2518	73.92	Large
MSMEG_0658	NA	NA	NA	25.72	Med-slow	0.1951	NA	NA
MSMEG_0660	NA	NA	NA	14.14	Fast	0.1773	NA	NA
MSMEG_0661	1.24	Med-slow	0.0896	20.76	Med-fast	0.2534	16.74	Small
MSMEG_0662	1.05	Med-slow	0.072	17.11	Fast	0.126	16.3	Small
MSMEG_0663	0.47	Fast	0.2448	14.69	Fast	0.1415	31.26	Med-large
MSMEG_0664	0.59	Fast	0.2485	NA	NA	NA	NA	NA
MSMEG_0665	1.34	Med-slow	0.0602	177.08	Slow	0.3146	132.15	Large
MSMEG_0666	1.17	Med-slow	0.1289	NA	NA	NA	NA	NA
MSMEG_0667	0.93	Med-fast	0.1268	14.51	Fast	0.2857	15.6	Small
MSMEG_0668	0.68	Fast	0.0917	31.53	Med-slow	0.3997	46.37	Large
MSMEG_0670	1.1	Med-slow	0.071	25.42	Med-slow	0.2584	23.11	Med-small
MSMEG_0671	1.88	Slow	0.2317	103.49	Slow	0.1689	55.05	Large
MSMEG_0672	NA	NA	NA	34.01	Med-slow	0.2955	NA	NA
MSMEG_0673	2.84	Slow	0.0355	30.67	Med-slow	0.0888	10.8	Small
MSMEG_0674	0.4	Fast	0.034	12.56	Fast	0.0632	31.4	Med-large
MSMEG_0675	NA	NA	NA	14.27	Fast	0.4387	NA	NA
MSMEG_0678	0.61	Fast	0.0607	24.37	Med-slow	0.1396	39.95	Med-large
MSMEG_0679	0.99	Med-slow	0.0552	12.64	Fast	0.0732	12.77	Small
MSMEG_0680	0.75	Med-fast	0.0323	20.44	Med-fast	0.1484	27.25	Med-large
MSMEG_0681	0.71	Fast	0.0427	18.2	Med-fast	0.1296	25.63	Med-small
MSMEG_0682	0.73	Med-fast	0.1379	25.97	Med-slow	0.17	35.58	Med-large
MSMEG_0683	1.19	Med-slow	0.0608	30.47	Med-slow	0.0984	25.61	Med-small
MSMEG_0684	NA	NA	NA	358.93	Slow	0.1607	NA	NA
MSMEG_0685	NA	NA	NA	67.76	Slow	0.2626	NA	NA
MSMEG_0686	1.13	Med-slow	0.1675	NA	NA	NA	NA	NA
MSMEG_0687	0.92	Med-fast	0.0829	57.64	Slow	0.1561	62.65	Large
MSMEG_0688	0.86	Med-fast	0.0355	11.27	Fast	0.161	13.1	Small
MSMEG_0689	1.62	Slow	0.0698	NA	NA	NA	NA	NA
MSMEG_0690	1.26	Med-slow	0.0169	31.43	Med-slow	0.0746	24.94	Med-small
MSMEG_0691	1.78	Slow	0.0154	92.09	Slow	0.1385	51.74	Large
MSMEG_0692	0.83	Med-fast	0.0314	21.68	Med-fast	0.0879	26.12	Med-small
MSMEG_0693	0.86	Med-fast	0.0348	12.47	Fast	0.1816	14.5	Small
MSMEG_0695	1.09	Med-slow	0.0337	31.44	Med-slow	0.0893	28.84	Med-large
MSMEG_0696	NA	NA	NA	16.85	Fast	0.1788	NA	NA
MSMEG_0697	NA	NA	NA	20.97	Med-fast	0.3246	NA	NA
MSMEG_0698	1.32	Med-slow	0.0314	15.1	Fast	0.1141	11.44	Small
MSMEG_0699	1.44	Slow	0.0325	21.98	Med-fast	0.1109	15.26	Small
MSMEG_0700	1.08	Med-slow	0.0196	19.3	Med-fast	0.156	17.87	Small
MSMEG_0701	1.25	Med-slow	0.1575	83.66	Slow	0.1444	66.93	Large
MSMEG_0702	2.49	Slow	0.0252	27.05	Med-slow	0.0546	10.86	Small
MSMEG_0703	0.83	Med-fast	0.1277	18.11	Med-fast	0.0617	21.82	Med-small
MSMEG_0704	0.6	Fast	0.2125	9.17	Fast	0.1229	15.28	Small
MSMEG_0705	0.75	Med-fast	0.2682	NA	NA	NA	NA	NA
MSMEG_0708	1.42	Slow	0.109	17.63	Med-fast	0.2084	12.42	Small
MSMEG_0709	3.06	Slow	0.1328	50.46	Slow	0.1879	16.49	Small
MSMEG_0710	3	Slow	0.1074	NA	NA	NA	NA	NA
MSMEG_0711	2.42	Slow	0.1231	NA	NA	NA	NA	NA
MSMEG_0712	0.83	Med-fast	0.1254	12.6	Fast	0.2695	15.18	Small
MSMEG_0713	1.51	Slow	0.4682	174.75	Slow	0.1274	115.73	Large
MSMEG_0717	0.6	Fast	0.0347	11.56	Fast	0.1053	19.27	Med-small
MSMEG_0718	1.2	Med-slow	0.1962	NA	NA	NA	NA	NA
MSMEG_0719	0.52	Fast	0.1636	11.48	Fast	0.1161	22.08	Med-small
MSMEG_0724	0.71	Fast	0.1383	19.08	Med-fast	0.1101	26.87	Med-large
MSMEG_0725	NA	NA	NA	14.36	Fast	0.11	NA	NA
MSMEG_0726	0.82	Med-fast	0.1796	30.28	Med-slow	0.2752	36.93	Med-large
MSMEG_0727	0.32	Fast	0.2532	16.4	Fast	0.4295	51.25	Large
MSMEG_0728	0.73	Med-fast	0.0443	18.69	Med-fast	0.3107	25.6	Med-small
MSMEG_0729	0.8	Med-fast	0.3603	NA	NA	NA	NA	NA
MSMEG_0730	0.82	Med-fast	0.1528	26.12	Med-slow	0.0809	31.85	Med-large
MSMEG_0731	1.17	Med-slow	0.0985	15.46	Fast	0.1717	13.21	Small
MSMEG_0732	1.43	Slow	0.0342	42.74	Slow	0.103	29.89	Med-large
MSMEG_0733	0.9	Med-fast	0.283	NA	NA	NA	NA	NA
MSMEG_0735	0.66	Fast	0.4237	NA	NA	NA	NA	NA
MSMEG_0736	0.49	Fast	0.007	12.35	Fast	0.079	25.2	Med-small
MSMEG_0737	0.52	Fast	0.0924	16.38	Fast	0.0869	31.5	Med-large
MSMEG_0738	0.86	Med-fast	0.0746	21.35	Med-fast	0.0503	24.83	Med-small
MSMEG_0739	0.68	Fast	0.1949	31.58	Med-slow	0.091	46.44	Large
MSMEG_0740	NA	NA	NA	26.71	Med-slow	0.0941	NA	NA
MSMEG_0741	2.43	Slow	0.2537	147.98	Slow	0.1516	60.9	Large
MSMEG_0742	0.72	Fast	0.1517	20.38	Med-fast	0.1449	28.31	Med-large
MSMEG_0743	0.97	Med-slow	0.046	21	Med-fast	0.1477	21.65	Med-small
MSMEG_0744	0.98	Med-slow	0.1603	22.08	Med-fast	0.1624	22.53	Med-small
MSMEG_0745	NA	NA	NA	15.64	Fast	0.4773	NA	NA
MSMEG_0746	0.83	Med-fast	0.2859	50.76	Slow	0.3615	61.16	Large
MSMEG_0750	0.43	Fast	0.0759	12.15	Fast	0.1706	28.26	Med-large
MSMEG_0752	0.54	Fast	0.0169	28	Med-slow	0.2663	51.85	Large
MSMEG_0753	0.43	Fast	0.2466	24.69	Med-slow	0.228	57.42	Large
MSMEG_0754	0.62	Fast	0.0298	18.46	Med-fast	0.1568	29.77	Med-large
MSMEG_0755	0.84	Med-fast	0.0652	14.24	Fast	0.1276	16.95	Small
MSMEG_0756	0.86	Med-fast	0.0537	25.5	Med-slow	0.2196	29.65	Med-large
MSMEG_0757	0.91	Med-fast	0.0716	15.93	Fast	0.062	17.51	Small
MSMEG_0758	0.62	Fast	0.0759	NA	NA	NA	NA	NA
MSMEG_0759	0.67	Fast	0.0371	30.6	Med-slow	0.1164	45.67	Large
MSMEG_0760	0.75	Med-fast	0.1146	49.97	Slow	0.0827	66.63	Large
MSMEG_0761	0.91	Med-fast	0.066	10.72	Fast	0.1665	11.78	Small
MSMEG_0762	1.79	Slow	0.1085	22.24	Med-fast	0.1772	12.42	Small
MSMEG_0763	2.31	Slow	0.4269	87.37	Slow	0.1721	37.82	Med-large
MSMEG_0764	1.1	Med-slow	0.0659	23.76	Med-fast	0.2759	21.6	Med-small
MSMEG_0765	0.34	Fast	0.2716	11.64	Fast	0.4401	34.24	Med-large
MSMEG_0766	0.84	Med-fast	0.0227	25.9	Med-slow	0.1296	30.83	Med-large
MSMEG_0767	0.68	Fast	0.1349	41.77	Slow	0.1613	61.43	Large
MSMEG_0768	0.72	Fast	0.0997	42.15	Slow	0.0731	58.54	Large
MSMEG_0769	0.96	Med-slow	0.0552	49.41	Slow	0.0913	51.47	Large
MSMEG_0770	1.24	Med-slow	0.0623	76.42	Slow	0.0848	61.63	Large
MSMEG_0771	1.24	Med-slow	0.339	NA	NA	NA	NA	NA
MSMEG_0773	1	Med-slow	0.0723	NA	NA	NA	NA	NA
MSMEG_0775	0.7	Fast	0.0929	25.84	Med-slow	0.2505	36.91	Med-large
MSMEG_0776	0.45	Fast	0.2026	7.44	Fast	0.1059	16.53	Small
MSMEG_0777	2.64	Slow	0.1356	30.65	Med-slow	0.0993	11.61	Small
MSMEG_0778	NA	NA	NA	854.17	Slow	0.4475	NA	NA
MSMEG_0779	NA	NA	NA	27.26	Med-slow	0.3541	NA	NA
MSMEG_0780	NA	NA	NA	22.47	Med-fast	0.3333	NA	NA
MSMEG_0781	2.62	Slow	0.3152	NA	NA	NA	NA	NA
MSMEG_0782	1.04	Med-slow	0.0909	NA	NA	NA	NA	NA
MSMEG_0783	0.97	Med-slow	0.0352	19.56	Med-fast	0.0708	20.16	Med-small
MSMEG_0784	0.67	Fast	0.1469	31.91	Med-slow	0.0498	47.63	Large
MSMEG_0785	NA	NA	NA	45.11	Slow	0.1096	NA	NA
MSMEG_0786	NA	NA	NA	48.93	Slow	0.0654	NA	NA
MSMEG_0787	0.84	Med-fast	0.2006	48.04	Slow	0.0802	57.19	Large
MSMEG_0788	0.47	Fast	0.0847	14.01	Fast	0.1368	29.81	Med-large
MSMEG_0789	0.94	Med-fast	0.0576	13.7	Fast	0.2483	14.57	Small
MSMEG_0790	0.89	Med-fast	0.0117	20.6	Med-fast	0.2343	23.15	Med-small
MSMEG_0791	0.79	Med-fast	0.0122	19.99	Med-fast	0.1233	25.3	Med-small
MSMEG_0792	0.65	Fast	0.0695	53.2	Slow	0.238	81.85	Large
MSMEG_0793	0.84	Med-fast	0.1177	30.68	Med-slow	0.0729	36.52	Med-large
MSMEG_0794	0.93	Med-fast	0.0361	53.04	Slow	0.1111	57.03	Large
MSMEG_0795	NA	NA	NA	28.75	Med-slow	0.1142	NA	NA
MSMEG_0796	1.87	Slow	0.4847	68.75	Slow	0.0657	36.76	Med-large
MSMEG_0798	1.2	Med-slow	0.1537	20.89	Med-fast	0.1925	17.41	Small
MSMEG_0799	NA	NA	NA	62.64	Slow	0.2313	NA	NA
MSMEG_0800	NA	NA	NA	33.07	Med-slow	0.2667	NA	NA
MSMEG_0801	0.87	Med-fast	0.0291	21.47	Med-fast	0.1919	24.68	Med-small
MSMEG_0802	0.8	Med-fast	0.0446	21.42	Med-fast	0.1049	26.78	Med-large
MSMEG_0803	NA	NA	NA	190.74	Slow	0.3002	NA	NA
MSMEG_0805	NA	NA	NA	17.36	Med-fast	0.4203	NA	NA
MSMEG_0806	0.88	Med-fast	0.0426	19.63	Med-fast	0.1236	22.31	Med-small
MSMEG_0807	0.75	Med-fast	0.0898	24.77	Med-slow	0.0978	33.03	Med-large
MSMEG_0808	NA	NA	NA	21.26	Med-fast	0.2468	NA	NA
MSMEG_0810	1.02	Med-slow	0.0897	13.81	Fast	0.1938	13.54	Small
MSMEG_0811	1.58	Slow	0.2815	NA	NA	NA	NA	NA
MSMEG_0812	1.29	Med-slow	0.0199	22.63	Med-fast	0.2021	17.54	Small
MSMEG_0813	NA	NA	NA	16.02	Fast	0.2872	NA	NA
MSMEG_0814	2.02	Slow	0.038	108.87	Slow	0.2527	53.9	Large
MSMEG_0815	0.51	Fast	0.0197	15.93	Fast	0.103	31.24	Med-large
MSMEG_0816	1.42	Slow	0.0239	28.24	Med-slow	0.1276	19.89	Med-small
MSMEG_0817	NA	NA	NA	49.85	Slow	0.3982	NA	NA
MSMEG_0818	0.89	Med-fast	0.129	NA	NA	NA	NA	NA
