,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse
MSMEG_0698,pass,15.10,-0.0662427927927928,0.506135001338777,0.114065252105105
MSMEG_3183,pass,15.10,-0.0662246246246246,0.673599692028028,0.0566137484684685
MSMEG_5643,pass,15.10,-0.0662117117117117,0.538832166014359,0.099956109945946
MSMEG_2940,pass,15.10,-0.0662112612612612,0.575521187947823,0.0861375752882882
MSMEG_5340,pass,15.11,-0.066190990990991,0.337711688436129,0.228893249837837
MSMEG_3062,pass,15.11,-0.06619009009009,0.383555493361044,0.18757974645045
MSMEG_2942,pass,15.11,-0.0661602102102102,0.223788287742489,0.404455561378378
MSMEG_5963,pass,15.12,-0.0661397897897898,0.367836953130537,0.200278158711711
MSMEG_4179,pass,15.12,-0.0661232732732732,0.636155955657838,0.0666184589039037
MSMEG_3430,pass,15.12,-0.0661228228228228,0.336968014355621,0.229183207279279
MSMEG_0182,pass,15.13,-0.0661148648648648,0.215676752122179,0.42347151518018
MSMEG_6053,pass,15.13,-0.0660933933933934,0.474403975818958,0.12893002657057
MSMEG_6882,pass,15.13,-0.0660873873873874,0.291635907666643,0.282609612828828
MSMEG_3064,pass,15.13,-0.0660795795795795,0.566200273853857,0.0891226232912912
MSMEG_3950,pass,15.13,-0.0660777777777777,0.686297160710075,0.0531681226666666
MSMEG_2865,pass,15.14,-0.0660693693693694,0.198569669512646,0.469339822738738
MSMEG_3948,pass,15.14,-0.0660612612612613,0.508926213347931,0.11218114651051
VBIMycSme59918_1395,pass,15.14,-0.0660375375375375,0.263211764557494,0.325202104684684
MSMEG_2309,pass,15.15,-0.0660201201201201,0.49111841557022,0.120314329837837
MSMEG_4534,pass,15.15,-0.0660003003003003,0.308826257987406,0.259716209153152
MSMEG_6025,pass,15.15,-0.0659998498498498,0.274111968255826,0.307299429066066
MSMEG_6372,pass,15.15,-0.065989039039039,0.446024841699919,0.144081781954954
MSMEG_5722,pass,15.16,-0.0659762762762763,0.259574129586531,0.330772959495495
MSMEG_6805,pass,15.17,-0.065909009009009,0.41889486539498,0.160536377837837
VBIMycSme59918_5410,pass,15.17,-0.0659081081081081,0.293847415240135,0.278092060204204
MSMEG_3319,pass,15.18,-0.0658914414414414,0.383775733976794,0.185717796537537
MSMEG_3203,pass,15.18,-0.065872972972973,0.380859536028818,0.187920043207207
MSMEG_2619,pass,15.18,-0.0658693693693693,0.691230274814725,0.0516313156276276
MSMEG_0392,pass,15.19,-0.065840990990991,0.478313645817024,0.125957387504504
MSMEG_5924,pass,15.19,-0.065840990990991,0.322561571425169,0.242540428837837
MSMEG_2312,pass,15.20,-0.0657936936936937,0.59271392054106,0.0792423227627627
MSMEG_6837,pass,15.20,-0.065787987987988,0.195313917528524,0.475029661489489
MSMEG_5352,pass,15.20,-0.0657878378378378,0.330029024070978,0.234061131792792
MSMEG_2173,pass,15.20,-0.0657855855855856,0.414815987536357,0.162641988864864
MSMEG_1776,pass,15.21,-0.0657657657657657,0.43738047550112,0.148214055267267
VBIMycSme59918_3326,pass,15.21,-0.0657587087087087,0.42085474532472,0.158524374135135
MSMEG_3034,pass,15.21,-0.0657259759759759,0.438035754377288,0.14764115429129
MSMEG_6815,pass,15.23,-0.0656391891891891,0.484602192355045,0.122072497042042
MSMEG_5407,pass,15.25,-0.0655897897897897,0.574928687281136,0.084733377045045
MSMEG_2444,pass,15.26,-0.0655304804804804,0.451402490189494,0.139030731072072
MSMEG_0835,pass,15.26,-0.0655151651651651,0.629335491594642,0.0673467558288288
MSMEG_6722,pass,15.26,-0.0655103603603603,0.234264159784279,0.373703634207207
MSMEG_2417,pass,15.27,-0.0655001501501501,0.557301004910973,0.0907898966216215
MSMEG_1932,pass,15.28,-0.0654518018018018,0.649286238072988,0.0616444587357357
