locus_tag,name,tnseq_ess,crispr_ess
MSMEG0486,MSMEG0486,NonEssential,NonEssential
MSMEG0487,MSMEG0487,NonEssential,NonEssential
MSMEG0488,MSMEG0488,NonEssential,NonEssential
MSMEG0489,MSMEG0489,NonEssential,NonEssential
MSMEG0490,MSMEG0490,NonEssential,NonEssential
MSMEG0491,MSMEG0491,NonEssential,NonEssential
MSMEG0492,MSMEG0492,NonEssential,NonEssential
MSMEG0494,MSMEG0494,NonEssential,NonEssential
MSMEG0495,MSMEG0495,Uncertain,NonEssential
MSMEG0496,MSMEG0496,NonEssential,NonEssential
MSMEG0497,MSMEG0497,NonEssential,NonEssential
MSMEG0498,MSMEG0498,Unknown,NonEssential
MSMEG0499,MSMEG0499,NonEssential,NonEssential
MSMEG0500,MSMEG0500,NonEssential,NonEssential
MSMEG0501,MSMEG0501,NonEssential,NonEssential
MSMEG0502,MSMEG0502,NonEssential,NonEssential
MSMEG0503,MSMEG0503,NonEssential,NonEssential
MSMEG0504,MSMEG0504,NonEssential,NonEssential
MSMEG0505,MSMEG0505,NonEssential,NonEssential
MSMEG0506,MSMEG0506,NonEssential,NonEssential
MSMEG0507,MSMEG0507,NonEssential,NonEssential
MSMEG0508,MSMEG0508,NonEssential,NonEssential
MSMEG0509,MSMEG0509,NonEssential,NonEssential
MSMEG0510,MSMEG0510,NonEssential,NonEssential
MSMEG0511,MSMEG0511,NonEssential,NonEssential
MSMEG0512,MSMEG0512,NonEssential,NonEssential
MSMEG0513,MSMEG0513,NonEssential,NonEssential
MSMEG0514,MSMEG0514,NonEssential,NonEssential
MSMEG0515,MSMEG0515,NonEssential,NonEssential
MSMEG0516,MSMEG0516,NonEssential,NonEssential
MSMEG0517,MSMEG0517,NonEssential,NonEssential
MSMEG0518,MSMEG0518,NonEssential,NonEssential
MSMEG0519,MSMEG0519,NonEssential,NonEssential
